Identificación de pestaña,Tipo de mensaje,Marca de tiempo Req,Método,URL,Código,Razón,RTT,Tamaño requerido para el encabezamiento,Tamaño requerido para el cuerpo,Tamaño que se requiere para el encabezamiento,Tamaño requerido para el cuerpo,Alerta mayor,Estado,Cargas
0,Original,Mon Jun 07 11:37:46 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,256,614,0,412,24334,,,[]
3,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,787,614,0,412,24334,,,[]
4,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,800,614,0,412,24334,,,[]
2,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,802,614,0,412,24334,,,[]
1,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,824,614,0,412,24334,,,[]
5,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,823,614,0,412,24334,,,[]
6,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,159,614,0,412,24334,,,[]
9,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,178,614,0,412,24334,,,[]
8,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,197,614,0,412,24334,,,[]
7,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,207,614,0,412,24334,,,[]
10,Fuzzed,Mon Jun 07 11:48:55 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,187,614,0,412,24334,,,[]
11,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,122,614,0,412,24334,,,[]
12,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,182,614,0,412,24334,,,[]
13,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,192,614,0,412,24334,,,[]
15,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,191,614,0,412,24334,,,[]
14,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,192,614,0,412,24334,,,[]
16,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,125,614,0,412,24334,,,[]
17,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,149,614,0,412,24334,,,[]
19,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,205,614,0,412,24334,,,[]
18,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,205,614,0,412,24334,,,[]
20,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,222,614,0,412,24334,,,[]
21,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,172,614,0,412,24334,,,[]
22,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,124,614,0,412,24334,,,[]
23,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,190,614,0,412,24334,,,[]
24,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,196,614,0,412,24334,,,[]
25,Fuzzed,Mon Jun 07 11:48:56 CEST 2021,GET,https://mudley.duckdns.org/registration,200,,192,614,0,412,24334,,,[]
